Date,Open,High,Low,Close
14-06-2012, 221.20 , 221.87 , 214.41 , 215.02 
15-06-2012, 216.85 , 218.99 , 214.70 , 218.31 
18-06-2012, 221.60 , 223.19 , 208.16 , 208.79 
19-06-2012, 208.79 , 211.63 , 205.60 , 210.07 
20-06-2012, 211.37 , 212.69 , 209.66 , 211.71 
21-06-2012, 210.02 , 218.50 , 208.50 , 217.84 
22-06-2012, 214.70 , 218.45 , 212.85 , 215.78 
25-06-2012, 216.11 , 220.00 , 210.16 , 211.50 
26-06-2012, 211.30 , 213.18 , 209.61 , 211.31 
27-06-2012, 212.81 , 213.84 , 210.33 , 211.34 
28-06-2012, 211.80 , 212.45 , 207.40 , 209.83 
29-06-2012, 213.00 , 217.00 , 212.70 , 215.90 
02-07-2012, 216.98 , 219.73 , 216.00 , 218.20 
03-07-2012, 219.50 , 220.40 , 217.71 , 218.74 
04-07-2012, 219.01 , 222.99 , 219.01 , 222.48 
05-07-2012, 221.99 , 223.96 , 221.21 , 223.35 
06-07-2012, 223.57 , 223.57 , 220.57 , 222.26 
09-07-2012, 219.80 , 221.90 , 219.26 , 220.95 
10-07-2012, 221.38 , 223.48 , 221.20 , 222.90 
11-07-2012, 221.50 , 225.26 , 221.01 , 221.87 
12-07-2012, 219.49 , 223.88 , 219.40 , 222.12 
13-07-2012, 222.19 , 223.35 , 217.12 , 217.85 
16-07-2012, 218.50 , 221.59 , 217.82 , 219.95 
17-07-2012, 221.50 , 222.34 , 218.21 , 219.91 
18-07-2012, 219.50 , 220.26 , 216.23 , 218.55 
19-07-2012, 221.41 , 221.73 , 215.40 , 215.81 
20-07-2012, 215.10 , 217.35 , 212.71 , 213.20 
23-07-2012, 211.20 , 212.38 , 208.68 , 209.32 
24-07-2012, 209.50 , 211.48 , 208.04 , 209.50 
25-07-2012, 208.63 , 209.48 , 206.10 , 207.04 
26-07-2012, 207.50 , 208.38 , 200.90 , 201.74 
27-07-2012, 205.10 , 206.73 , 193.15 , 194.10 
30-07-2012, 195.13 , 204.00 , 194.10 , 203.18 
31-07-2012, 203.80 , 204.49 , 196.82 , 200.51 
01-08-2012, 201.00 , 204.48 , 200.52 , 203.34 
02-08-2012, 203.00 , 203.01 , 199.76 , 201.13 
03-08-2012, 199.10 , 201.44 , 197.50 , 200.54 
06-08-2012, 203.48 , 203.71 , 201.08 , 201.82 
07-08-2012, 202.12 , 207.19 , 201.13 , 206.13 
08-08-2012, 207.30 , 208.90 , 205.32 , 206.08 
09-08-2012, 206.73 , 208.05 , 196.34 , 196.88 
10-08-2012, 196.30 , 199.40 , 187.60 , 188.77 
13-08-2012, 189.20 , 191.10 , 185.85 , 190.65 
14-08-2012, 191.10 , 192.99 , 189.80 , 191.04 
16-08-2012, 191.80 , 192.38 , 189.00 , 189.45 
17-08-2012, 189.50 , 191.72 , 188.24 , 189.71 
21-08-2012, 190.28 , 191.79 , 188.91 , 191.51 
22-08-2012, 190.00 , 193.30 , 189.70 , 191.21 
23-08-2012, 191.40 , 192.99 , 190.01 , 191.18 
24-08-2012, 190.00 , 190.40 , 188.35 , 189.38 
27-08-2012, 189.02 , 189.94 , 183.82 , 184.45 
28-08-2012, 184.23 , 185.95 , 183.02 , 184.42 
29-08-2012, 184.90 , 185.68 , 182.45 , 182.99 
30-08-2012, 182.20 , 184.70 , 181.51 , 183.97 
31-08-2012, 183.90 , 186.49 , 182.87 , 183.74 
03-09-2012, 185.00 , 186.50 , 184.25 , 185.07 
04-09-2012, 186.00 , 188.18 , 185.10 , 187.50 
05-09-2012, 186.01 , 186.70 , 182.71 , 183.02 
06-09-2012, 182.70 , 186.49 , 182.70 , 185.40 
07-09-2012, 188.80 , 190.20 , 188.26 , 189.21 
08-09-2012, NA , NA , NA , NA 
10-09-2012, 189.90 , 190.50 , 185.63 , 186.12 
11-09-2012, 184.51 , 187.18 , 184.50 , 185.77 
12-09-2012, 187.00 , 187.70 , 184.51 , 185.94 
13-09-2012, 185.40 , 188.50 , 185.40 , 186.76 
14-09-2012, 191.90 , 197.50 , 191.10 , 197.15 
17-09-2012, 200.60 , 208.88 , 200.60 , 207.96 
18-09-2012, 208.00 , 215.69 , 206.06 , 214.95 
20-09-2012, 210.90 , 215.99 , 210.00 , 212.34 
21-09-2012, 213.59 , 224.25 , 213.51 , 221.32 
24-09-2012, 221.50 , 225.28 , 218.41 , 219.82 
25-09-2012, 221.32 , 224.50 , 217.20 , 219.65 
26-09-2012, 218.80 , 224.00 , 217.15 , 222.90 
27-09-2012, 224.00 , 226.49 , 223.02 , 224.73 
28-09-2012, 226.94 , 227.80 , 222.58 , 224.06 
01-10-2012, 224.24 , 227.87 , 224.02 , 227.01 
03-10-2012, 228.10 , 230.24 , 225.30 , 229.69 
04-10-2012, 231.00 , 234.90 , 230.43 , 234.57 
05-10-2012, 235.00 , 236.26 , 201.03 , 233.95 
08-10-2012, 234.05 , 234.05 , 226.13 , 226.95 
09-10-2012, 229.39 , 230.60 , 225.73 , 228.26 
10-10-2012, 225.80 , 226.38 , 221.85 , 222.35 
11-10-2012, 222.70 , 228.37 , 219.14 , 226.71 
12-10-2012, 226.97 , 229.45 , 224.51 , 225.18 
15-10-2012, 224.80 , 226.96 , 223.08 , 226.45 
16-10-2012, 227.04 , 228.50 , 222.39 , 222.88 
17-10-2012, 224.62 , 225.59 , 220.21 , 221.47 
18-10-2012, 222.84 , 228.37 , 220.70 , 227.82 
19-10-2012, 227.00 , 227.99 , 223.40 , 225.77 
22-10-2012, 222.70 , 225.99 , 222.52 , 224.10 
23-10-2012, 224.00 , 226.79 , 223.05 , 223.47 
25-10-2012, 223.98 , 225.04 , 219.50 , 219.93 
29-10-2012, 217.29 , 220.45 , 215.68 , 216.77 
30-10-2012, 216.90 , 219.98 , 206.55 , 207.43 
31-10-2012, 207.20 , 211.46 , 205.76 , 211.02 
01-11-2012, 211.20 , 212.46 , 209.85 , 211.55 
02-11-2012, 214.00 , 215.90 , 212.51 , 215.24 
05-11-2012, 214.29 , 215.38 , 212.82 , 214.48 
06-11-2012, 213.10 , 217.75 , 213.10 , 217.32 
07-11-2012, 216.84 , 222.97 , 216.45 , 221.70 
08-11-2012, 218.90 , 226.69 , 218.23 , 224.23 
09-11-2012, 223.66 , 226.93 , 214.80 , 215.51 
11-11-2012, NA , NA , NA , NA 
12-11-2012, 216.51 , 219.49 , 212.40 , 219.03 
15-11-2012, 215.20 , 218.20 , 213.84 , 215.37 
16-11-2012, 215.37 , 216.99 , 210.11 , 210.85 
19-11-2012, 212.40 , 212.40 , 208.44 , 209.39 
20-11-2012, 211.00 , 211.88 , 205.30 , 206.65 
21-11-2012, 207.10 , 207.44 , 204.10 , 206.10 
22-11-2012, 206.76 , 211.46 , 206.76 , 209.85 
23-11-2012, 211.00 , 211.15 , 207.53 , 208.95 
26-11-2012, 209.65 , 210.96 , 208.00 , 209.19 
27-11-2012, 210.17 , 212.30 , 209.50 , 211.51 
29-11-2012, 212.82 , 214.20 , 210.57 , 213.18 
30-11-2012, 214.90 , 218.70 , 214.56 , 217.03 
03-12-2012, 218.00 , 221.00 , 217.35 , 220.40 
04-12-2012, 220.80 , 224.92 , 220.24 , 223.96 
05-12-2012, 224.80 , 228.30 , 224.52 , 227.18 
06-12-2012, 228.10 , 231.79 , 224.00 , 230.72 
07-12-2012, 231.64 , 233.96 , 230.01 , 231.62 
10-12-2012, 232.24 , 232.68 , 230.11 , 232.02 
11-12-2012, 232.97 , 233.85 , 228.27 , 230.88 
12-12-2012, 231.00 , 231.79 , 228.64 , 229.49 
13-12-2012, 230.25 , 232.50 , 225.51 , 226.26 
14-12-2012, 226.62 , 232.70 , 225.38 , 232.02 
17-12-2012, 231.88 , 234.90 , 231.20 , 234.43 
18-12-2012, 235.00 , 238.20 , 227.90 , 237.27 
19-12-2012, 238.50 , 240.82 , 236.27 , 237.23 
